doy,avg_temp_F
1,33.5
2,33
3,32.5
4,32
5,33
6,33
7,33.5
8,34
9,34
10,35
11,35
12,35
13,35
14,35
15,35.5
16,36
17,35.5
18,35.5
19,35.5
20,35.5
21,35.5
22,35
23,36.5
24,36
25,37
26,37.5
27,37.5
28,38
29,38
30,38
31,38
32,37.5
33,37
34,37.5
35,38
36,38.5
37,38.5
38,39
39,39
40,38.5
41,39
42,38.5
43,40
44,40.5
45,41
46,41
47,41.5
48,41.5
49,42
50,41.5
51,42
52,41.5
53,42
54,42.5
55,42.5
56,43
57,42.5
58,42.5
59,42
60,45
61,43
62,43.5
63,43
64,42.5
65,43.5
66,43.5
67,44.5
68,45
69,46.5
70,46.5
71,46
72,45
73,46
74,46.5
75,46
76,47
77,47.5
78,47
79,47.5
80,48
81,48.5
82,49
83,50.5
84,50
85,50
86,49
87,48.5
88,48.5
89,48.5
90,49
91,50.5
92,51.5
93,51.5
94,51
95,51
96,52
97,52.5
98,53
99,53.5
100,53.5
101,53
102,53.5
103,53.5
104,55
105,55.5
106,56
107,57
108,57
109,58
110,56.5
111,56.5
112,57.5
113,57.5
114,57.5
115,57.5
116,57.5
117,58
118,58
119,58.5
120,58.5
121,59.5
122,59.5
123,60
124,60.5
125,61.5
126,61.5
127,61.5
128,62
129,62
130,62
131,62.5
132,63
133,63
134,63.5
135,64.5
136,65
137,65
138,64.5
139,66
140,66.5
141,66
142,66.5
143,66.5
144,66.5
145,67.5
146,67.5
147,67
148,68.5
149,68.5
150,69
151,69
152,69
153,69
154,70
155,70
156,70
157,71
158,71.5
159,71.5
160,72
161,72
162,72
163,72
164,73
165,74
166,74
167,74.5
168,75.5
169,75
170,75.5
171,76
172,76.5
173,76.5
174,76
175,76.5
176,77
177,77
178,77.5
179,78
180,78
181,78
182,77.5
183,78
184,78
185,78
186,78
187,78
188,78.5
189,78.5
190,78.5
191,78
192,78.5
193,78.5
194,78.5
195,78.5
196,78
197,78.5
198,78.5
199,78
200,78.5
201,78
202,78
203,78
204,77.5
205,77.5
206,78
207,78
208,78
209,78
210,78
211,78
212,78
213,78
214,77.5
215,78
216,77.5
217,77.5
218,77.5
219,77.5
220,77
221,77
222,77
223,77
224,76.5
225,76
226,76
227,75.5
228,75.5
229,76.5
230,76
231,76
232,76
233,75.5
234,75
235,75
236,75
237,75
238,74.5
239,74.5
240,74.5
241,75
242,74.5
243,74.5
244,74
245,74
246,74
247,73.5
248,73
249,73
250,72.5
251,72.5
252,73
253,72
254,71.5
255,71
256,70
257,70
258,69.5
259,69
260,69.5
261,69.5
262,69
263,68.5
264,68
265,67
266,66
267,66.5
268,66
269,65.5
270,65
271,65.5
272,64.5
273,64.5
274,64.5
275,64.5
276,64.5
277,63.5
278,62.5
279,62
280,61.5
281,61.5
282,61
283,61
284,61.5
285,60.5
286,59.5
287,59.5
288,58.5
289,57.5
290,57.5
291,56.5
292,56.5
293,56.5
294,55.5
295,55
296,55
297,54
298,53.5
299,53.5
300,53
301,53
302,53
303,52
304,50
305,50
306,50
307,48.5
308,48
309,48.5
310,48.5
311,48.5
312,47.5
313,47.5
314,46.5
315,46.5
316,46.5
317,45.5
318,45
319,46
320,44
321,43.5
322,44
323,43.5
324,42.5
325,42
326,41.5
327,42
328,41
329,41
330,42
331,41
332,38.5
333,39
334,38.5
335,38.5
336,39.5
337,40
338,39.5
339,39.5
340,38.5
341,38
342,38
343,37.5
344,36
345,36
346,36.5
347,36.5
348,36
349,35
350,34.5
351,35
352,35.5
353,34.5
354,35
355,36
356,35
357,34.5
358,34.5
359,34.5
360,34
361,34.5
362,34.5
363,34.5
364,35
365,35
