date_timeAK,t_i,SpCond_uScm,Discharge_Lsec,crrel_precip_mm
6/30/17 0:00,3.00,83.0968254,23.64575714,0
6/30/17 6:00,9.00,82.60701754,19.93661053,0
6/30/17 12:00,15.00,82.17222222,22.48180476,0
6/30/17 18:00,21.00,82.95652174,24.11854783,0
7/1/17 0:00,27.00,83.42986111,26.55447917,0
7/1/17 6:00,33.00,83.35277778,20.42049583,0
7/1/17 12:00,39.00,83.02986111,22.388775,0
7/1/17 18:00,45.00,83.71811594,23.2975087,0
7/2/17 0:00,51.00,84.75144928,23.50476087,1.143
7/2/17 6:00,57.00,82.58188406,20.59366522,18.2245
7/2/17 12:00,63.00,79.55,21.31286667,3.175
7/2/17 18:00,69.00,51.2787037,145.3925222,5.1435
7/3/17 0:00,75.00,39.52539683,168.6859524,0
7/3/17 6:00,81.00,36.9,135.9505,0
7/3/17 12:00,87.00,36.88888889,109.227375,2.159
7/3/17 18:00,93.00,36.87152778,124.0160417,4.953
7/4/17 0:00,99.00,36.98680556,118.5970833,0
7/4/17 6:00,105.00,38.02361111,96.05881667,0
7/4/17 12:00,111.00,39.01736111,81.88593333,0
7/4/17 18:00,117.00,39.75,75.1979,0
7/5/17 0:00,123.00,44.96137566,67.741,0
7/5/17 6:00,129.00,50.17275132,60.2841,0
7/5/17 12:00,135.00,55.38412698,52.8272,0
7/5/17 18:00,141.00,57.59027778,52.742575,0
7/6/17 0:00,147.00,59.69236111,56.32900417,0
7/6/17 6:00,153.00,60.88333333,43.8781375,0
7/6/17 12:00,159.00,61.97638889,37.7005125,0
7/6/17 18:00,165.00,63.70069444,37.16554583,0
7/7/17 0:00,171.00,64.76666667,35.3073,0
