Max precipitation depth [mm],,,,,
,,,Duration T [hr],,
Year,1,3,6,12,24
1995,12.8,24.9,39.7,51.3,61.9
1996,14.4,28.4,37.6,48.7,85
1997,11.6,21.5,32.4,46.8,61.1
1998,9.2,19.8,25.7,37.8,61.5
1999,10,44.4,45.7,48.2,69
2000,9.1,21.3,33,41.1,49.3
2001,9.4,15.4,21.8,38.1,63.1
2002,11,24,37.8,70.3,94
2003,13.2,27.6,41.7,43.6,48.5
2004,13.2,22.3,31.7,38.5,44.4
2005,9.7,25.1,41,55.8,56.8
2006,13.8,18.2,20.3,27.4,33.9
2007,16.7,29.4,35.2,45,85.3
2008,12.9,22.7,32.4,57.9,115.1
2009,17.6,23.7,30.7,38.5,51.9
2010,10.6,20.5,27.6,50.3,55
2011,19.6,41.9,49.5,49.7,56.9
2012,35.6,35.8,35.9,46.9,61.6
2013,15.4,25.4,37.8,48.8,66.6
2014,15,20.1,28.3,34.8,40.7
2015,14.3,21.7,26.9,33.6,37.3
2016,10.7,25.2,38.7,49.6,62.2
2017,14.8,26.3,40,53.7,67.3
2018,10.9,22.1,41.5,62.3,92.6
2019,9.6,17.4,25.6,47.1,57.4
2020,18.9,23.4,32.8,56.4,69.6
2021,8,17.8,31.9,56.4,68.5
2022,28.7,32,40.6,55.3,74.7
2023,16.5,25.4,25.7,34.3,36.6
2024,8.4,16,25.8,39.9,56
